word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,affiliation,compound,pos,neg,neu,frequency,sentiment
well,founded,yet,medical,anthropologist,karkazis,pointed,lancet,last,year,Left,0.3,0.077,0.0,0.923,433,Positive
née,rachel,dolezal,caitlyn,jenner,coxunlike,gender,inequality,racial,inequality,Left,0.0,0.0,0.0,1.0,3689,Neutral
households,widen,intergenerationally,taxation,scholar,batchelder,noted,“,white,households,Left,-0.6,0.0,0.146,0.854,208,Negative
krug,nkechi,amare,diallo,née,dolezal,caitlyn,jenner,laverne,coxunlike,Left,0.0,0.0,0.0,1.0,3689,Neutral
families,”,economists,darrick,hamilton,darity,argue,intra,familial,merit,Left,0.1,0.099,0.085,0.816,197,Positive
definition,terms,single—much,less,fixed—trait,kessler,wendy,mckenna,observed,“,Left,0.0,0.0,0.0,1.0,3689,Neutral
include,anyone,black,“,perceptible,african,blood,”,two,decades,Left,0.0,0.0,0.0,1.0,3689,Neutral
single—much,less,fixed—trait,suzanne,kessler,mckenna,observed,“,features,always,Left,0.0,0.0,0.0,1.0,3689,Neutral
said,despite,lack,black,ancestry,genuinely,self,identified,black,public,Left,0.2,0.073,0.0,0.927,321,Positive
agreed,calling,dolezal,“,white,fussy,hair,bad,tan,”,Left,-0.3,0.076,0.127,0.797,263,Negative
others,recognize,jenner,certain,identity,reactions,demand,predictable,jenner,warmly,Left,0.5,0.164,0.051,0.785,520,Positive
”,implies,something,receive,someone,makes,reliant,dependent,others,waiter,Left,0.1,0.059,0.0,0.941,197,Positive
clinton,promised,change,welfare,knew,clinton,leaned,racist,super,predatory,Left,0.3,0.192,0.12,0.689,433,Positive
typically,right,scholars,vesla,weaver,alexander,helped,us,understand,growth,Left,0.4,0.094,0.0,0.906,762,Positive
merchants,buenos,aires,ríos,made,importing,supplies,allied,troops,argentina,Left,0.0,0.0,0.0,1.0,3689,Neutral
aristides,zañartu,perhaps,intended,riposte,martineau,’,fictional,homilies,laissez,Left,0.0,0.0,0.0,1.0,3689,Neutral
based,work,french,liberal,economist,baptiste,say,anglo,american,tradition,Left,0.0,0.0,0.0,1.0,3689,Neutral
knowledge,nations,future,latin,america,miller,copright,©,princeton,university,Left,0.0,0.0,0.0,1.0,3689,Neutral
vaccine,shortages,increased,rescinded,offer,australia,permitted,exports,domestic,manufacturers,Left,0.1,0.076,0.058,0.866,197,Positive
progress,lawmakers,taken,notice,senator,warren,representative,jan,schakowsky,proposed,Left,0.4,0.101,0.0,0.899,762,Positive
notice,senator,elizabeth,warren,representative,schakowsky,proposed,covid,emergency,manufacturing,Left,-0.4,0.0,0.094,0.906,256,Negative
twenty,years,ago,science,journalist,garrett,characterized,collapse,global,health,Left,-0.5,0.0,0.113,0.887,272,Negative
suited,areas,like,climate,change,significant,degree,uncertainty,second,closely,Left,0.2,0.145,0.081,0.774,321,Positive
technocrats,managers,asserting,pretending,expertise,democratically,accountable,members,stakeholders,paris,Left,0.1,0.053,0.0,0.947,197,Positive
line,”,constitutional,change,sport,jordan,house,’,first,african,Left,0.0,0.0,0.0,1.0,3689,Neutral
celebrates,60th,anniversary,19th,amendment,,,,,,Left,0.6,0.129,0.0,0.871,486,Positive
percent,version,notably,deadline,attached,nineteenth,amendment,passed,amendment,since,Left,0.0,0.0,0.0,1.0,3689,Neutral
unstoppable,mothers,equal,rights,amendment,suk,published,skyhorse,publishing,,Left,-0.2,0.0,0.067,0.933,234,Negative
’,side,quickly,grew,stake,holtzman,thirty,year,old,lawyer,Left,0.0,0.0,0.0,1.0,3689,Neutral
confusion,would,time,running,holtzman,heckler,republican,massachusetts,created,bipartisan,Left,-0.1,0.071,0.078,0.851,152,Negative
legislative,session,next,year,congresswoman,griffiths,sponsored,house,she,made,Left,0.0,0.0,0.0,1.0,3689,Neutral
states,informed,debate,state,legislators—taking,celler,’,book—were,holding,ratification,Left,0.0,0.0,0.0,1.0,3689,Neutral
imposed,deadlines,could,mean,women,wald,assistant,attorney,general,department,Left,-0.1,0.0,0.049,0.951,152,Negative
taking,privileges–era,”,operation,led,schlafly,widespread,confusion,would,time,Left,-0.3,0.0,0.084,0.916,263,Negative
district,columbia,circuit,—the,court,bader,ginsburg,appointed,holtzman,convened,Left,0.0,0.0,0.0,1.0,3689,Neutral
equality,day,equality,flickr,year,became,crucial,thirty,eighth,state,Left,0.0,0.0,0.0,1.0,3689,Neutral
congresswoman,martha,griffiths,sponsored,house,made,political,calculation,include,original,Left,0.3,0.084,0.0,0.916,433,Positive
him,mere,votes,became,youngest,ever,elected,congress,since,honor,Left,0.5,0.113,0.0,0.887,520,Positive
controlled,regions,colombia,decades,example,merlano,former,colombian,senator,recently,Left,0.0,0.0,0.0,1.0,3689,Neutral
women,became,particularly,clear,incarceration,rwigara,whose,father,prominent,rwandan,Left,0.6,0.177,0.0,0.823,486,Positive
women,attend,policy,training,photo,taormina,gender,equality,initiatives,help,Left,0.4,0.097,0.0,0.903,762,Positive
father,’,death,rwigara,announced,would,challenge,president,kagame,election,Left,-0.6,0.046,0.138,0.816,208,Negative
efforts,reject,abortion,outright,presenting,friendly,seemingly,success,women,’,Left,0.6,0.218,0.085,0.696,486,Positive
value,including,essay,former,south,governor,mark,sanford,’,extramarital,Left,0.3,0.091,0.0,0.909,433,Positive
rules,prosper,”,wypijewski,reflects,blasey,ford,’,testimony,brett,Left,0.0,0.0,0.0,1.0,3689,Neutral
symbolically,bad,behavior,stand,banished,wypijewski,’,new,collection,’,Left,-0.5,0.0,0.132,0.868,272,Negative
symbolically,bad,behavior,stand,banished,wypijewski,’,new,collection,’,Left,-0.5,0.0,0.132,0.868,272,Negative
sanyal,’,cultural,history,rape,metoo,notes,“,unimaginably,common,Left,-0.7,0.0,0.17,0.83,128,Negative
